name,price,link
"S&B 7 X 57 R HPC 10,2G",2.46 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-7-x-57-r-hpc-102g-_1f2rar/
"NORMA .300 WIN. MAG. JM 9,7 G",2.48 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-300-win-mag-jm-97-g-_1bkbv9/
"WINCHESTER 6.5 CREEDMOOR BTHP 9,07 G ",2.49 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/winchester/winchester-65-creedmoor-bthp-907-g-_0npkrj/
" NORMA .30-06 SPR. PPDC 11,7 G",2.49 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-30-06-spr-ppdc-117-g-_6a1ccn/
"NORMA WHITETAIL 6,5x55 SE 10,1 G",2.50 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-whitetail-65x55-se-101-g-_saw04k/
"SAKO .308 WIN 140A TRG PRECISION 11,3 G",2.50 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-140a-trg-precision-113-g-_qv5k55/
"SAKO .308 WIN 141A TRG PRECISION 10,9 G",2.50 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-141a-trg-precision-109-g-_id7kl3/
"NORMA .22-250 REM. ORYX 3,6 G",2.53 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-22-250-rem-oryx-36-g-_6v6opn/
WINCHESTER .300 AAC DEER SEASON XP 9.7 GR CARTRIDGE,2.54 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/winchester/winchester-300-aac-deer-season-xp-97-gr-cartridge-_gregrn/
"SAKO .30-06 SPR. RANGE SPEEDHEAD 8,0G",2.54 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-30-06-spr-range-speedhead-80g-_ir9c72/
"NORMA 6,5x55 SE NOSLER BST 7,8 G",2.54 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-65x55-se-nosler-bst-78-g-_t45oho/
WINCHESTER .300 AAC SUBSONIC HP 12.9 G CARTRIDGE,2.54 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/winchester/winchester-300-aac-subsonic-hp-129-g-cartridge-_30dgjo/
LAPUA .308 WIN FMJ BT D46 12G,2.54 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/lapua/lapua-308-win-fmj-bt-d46-12g-_s8ma2c/
"SAKO 7 X 64 216B HAMMERHEAD 11,0 G",2.55 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-7-x-64-216b-hammerhead-110-g-_pmin0s/
"NORMA ORYX 7x65 R 10,1 G",2.56 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-oryx-7x65-r-101-g-_3bsdn1/
"NORMA 8x57 JS ALASKA 12,7 G",2.59 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-8x57-js-alaska-127-g-_clbhui/
"NORMA .308 WIN. ALASKA 11,7 G",2.59 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-308-win-alaska-117-g-_radf0b/
"NORMA WHITETAIL .308 WIN. 11,7 G",2.59 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-whitetail-308-win-117-g-_isffg9/
"NORMA ORYX SILENCER 6,5x55 SE 10,1 G",2.60 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-oryx-silencer-65x55-se-101-g-_arwglh/
"SAKO 6,5 CREEDMOOR 119H TRG PRECISION 9,1 G",2.60 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-65-creedmoor-119h-trg-precision-91-g-_w48kt2/
"S&B .30-06 SPR.  HPC 11,7 G",2.60 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-30-06-spr-hpc-117-g-_mn3fe2/
